cliente_id,tipo_cliente,num_transacciones,dias_activos,gasto_total,ingresos_totales,ticket_promedio,ticket_mediano,num_comercios_distintos,num_categorias_distintas,pagos_recurrentes,depositos_recurrentes,porcentaje_tdc,porcentaje_tdd,uso_credito,revolvencia,concentracion_proveedores,estacionalidad,antiguedad_meses,perfil_sintetico,transacciones_por_dia_activo,gasto_promedio_mensual,ingreso_promedio_mensual,ratio_ingreso_gasto,indice_recurrencia,diversidad_operativa,exposicion_credito,intensidad_operativa
EMP_00001,empresarial,373,196,512306.04,562579.1,1358.98,1140.92,85,23,93,73,0.496,0.424,0.791,0.158,0.666,0.406,108,empresarial,1.9031,4743.57,5209.07,1.0981,0.445,0.2895,0.4817,11.1997
EMP_00002,empresarial,444,181,1075557.66,1214466.72,2298.36,1929.94,160,14,88,65,0.355,0.616,0.559,0.121,0.718,0.135,41,empresarial,2.453,26233.11,29621.14,1.1292,0.3446,0.3919,0.345,11.2943
EMP_00003,empresarial,347,221,410008.61,505980.97,1352.36,1043.03,84,19,66,38,0.9,0.046,0.596,0.466,0.359,0.234,118,empresarial,1.5701,3474.65,4287.97,1.2341,0.2997,0.2968,0.654,11.2475
EMP_00004,empresarial,326,235,252357.18,262173.74,733.28,657.49,80,21,58,63,0.46,0.489,0.461,0.303,0.402,0.429,80,empresarial,1.3872,3154.46,3277.17,1.0389,0.3712,0.3098,0.408,11.2465
EMP_00005,empresarial,466,210,1180875.08,1853354.53,2647.43,2400.46,49,16,134,36,0.579,0.408,0.15,0.221,0.762,0.481,38,empresarial,2.219,31075.66,48772.49,1.5695,0.3648,0.1395,0.3167,11.4913
EMP_00006,empresarial,338,277,722285.18,1141482.44,2262.23,1678.36,131,16,95,39,0.867,0.102,0.589,0.39,0.668,0.314,6,empresarial,1.2202,120380.86,190247.07,1.5804,0.3964,0.4349,0.6153,11.4471
EMP_00007,empresarial,398,220,469272.89,699536.85,1389.69,1116.61,120,18,115,58,0.388,0.534,0.485,0.092,0.198,0.311,74,empresarial,1.8091,6341.53,9453.2,1.4907,0.4347,0.3467,0.3217,11.3801
EMP_00008,empresarial,382,299,376390.7,472475.08,841.7,755.56,158,20,120,45,0.17,0.82,0.207,0.241,0.619,0.117,56,empresarial,1.2776,6721.26,8437.06,1.2553,0.4319,0.466,0.206,11.6459
EMP_00009,empresarial,465,260,547459.08,813772.86,1100.8,775.3,59,18,105,64,0.564,0.39,0.376,0.106,0.441,0.541,67,empresarial,1.7885,8171.03,12145.86,1.4865,0.3634,0.1656,0.3487,11.7027
EMP_00010,empresarial,304,207,170521.47,238600.52,655.32,492.42,133,22,104,33,0.691,0.261,0.252,0.331,0.347,0.203,49,empresarial,1.4686,3480.03,4869.4,1.3992,0.4507,0.5099,0.4247,11.0498
EMP_00011,empresarial,528,197,1052496.11,1533642.65,2094.21,1903.77,97,16,162,47,0.356,0.631,0.606,0.265,0.458,0.344,24,empresarial,2.6802,43854.0,63901.78,1.4571,0.3958,0.214,0.409,11.5523
EMP_00012,empresarial,273,154,166404.65,179384.75,718.1,571.89,116,13,88,21,0.333,0.624,0.41,0.202,0.845,0.3,43,empresarial,1.7727,3869.88,4171.74,1.078,0.3993,0.4725,0.315,10.6464
EMP_00013,empresarial,408,261,657748.53,1050630.33,1588.38,1442.84,52,26,124,38,0.766,0.161,0.519,0.289,0.342,0.336,74,empresarial,1.5632,8888.49,14197.71,1.5973,0.3971,0.1912,0.5247,11.5758
EMP_00014,empresarial,389,225,412011.65,515067.64,987.97,761.96,133,16,90,79,0.456,0.535,0.572,0.42,0.498,0.201,45,empresarial,1.7289,9155.81,11445.95,1.2501,0.4344,0.383,0.4827,11.3797
EMP_00015,empresarial,722,115,469245.9,562010.51,773.39,623.82,115,16,156,109,0.683,0.302,0.245,0.058,0.486,0.067,45,empresarial,6.2783,10427.69,12489.12,1.1977,0.367,0.1814,0.3287,11.327
EMP_00016,empresarial,263,216,471534.81,602591.99,1556.37,1227.96,94,18,64,36,0.206,0.774,0.186,0.293,0.636,0.053,14,empresarial,1.2176,33681.06,43042.28,1.2779,0.3802,0.4259,0.2283,10.9475
EMP_00017,empresarial,421,195,491918.71,582046.45,1223.91,966.56,112,18,76,52,0.376,0.564,0.156,0.415,0.247,0.068,57,empresarial,2.159,8630.15,10211.34,1.1832,0.304,0.3088,0.3157,11.3156
EMP_00018,empresarial,313,332,566878.51,950174.4,2002.28,1802.55,75,16,78,53,0.671,0.283,0.612,0.612,0.489,0.083,25,empresarial,0.9428,22675.14,38006.98,1.6762,0.4185,0.2907,0.6317,11.5513
EMP_00019,empresarial,227,151,162682.29,235320.21,826.84,700.1,80,18,38,20,0.222,0.738,0.751,0.302,0.711,0.315,80,empresarial,1.5033,2033.53,2941.5,1.4465,0.2555,0.4317,0.425,10.4423
EMP_00020,empresarial,442,166,395048.09,636671.95,1024.47,929.17,83,18,71,48,0.487,0.45,0.535,0.29,0.453,0.154,35,empresarial,2.6627,11287.09,18190.63,1.6116,0.2692,0.2285,0.4373,11.2033
EMP_00021,empresarial,192,306,111668.88,183994.28,516.56,392.11,47,19,66,31,0.63,0.292,0.31,0.207,0.742,0.147,47,empresarial,0.6275,2375.93,3914.77,1.6477,0.5052,0.3438,0.3823,10.9811
EMP_00022,empresarial,245,320,136847.04,192081.08,562.6,516.77,117,9,73,34,0.831,0.153,0.619,0.021,0.586,0.113,113,empresarial,0.7656,1211.04,1699.83,1.4036,0.4367,0.5143,0.4903,11.2696
EMP_00023,empresarial,345,204,1144910.65,1772713.47,2996.62,2546.65,126,26,94,61,0.35,0.585,0.113,0.087,0.508,0.296,47,empresarial,1.6912,24359.8,37717.31,1.5483,0.4493,0.4406,0.1833,11.1617
EMP_00024,empresarial,464,210,1413493.21,2286312.55,3378.24,2403.67,77,17,106,91,0.504,0.466,0.394,0.531,0.365,0.339,43,empresarial,2.2095,32871.94,53170.06,1.6175,0.4246,0.2026,0.4763,11.487
EMP_00025,empresarial,432,279,591011.35,661345.15,1464.03,1140.64,104,20,118,80,0.273,0.715,0.736,0.424,0.748,0.375,71,empresarial,1.5484,8324.1,9314.72,1.119,0.4583,0.287,0.4777,11.6996
EMP_00026,empresarial,370,117,357012.85,427574.52,996.24,736.9,88,12,125,35,0.635,0.344,0.343,0.126,0.657,0.431,7,empresarial,3.1624,51001.84,61082.07,1.1976,0.4324,0.2703,0.368,10.6757
EMP_00027,empresarial,166,143,202832.17,260652.64,1242.22,914.91,104,16,48,14,0.731,0.237,0.541,0.348,0.692,0.504,89,empresarial,1.1608,2279.01,2928.68,1.2851,0.3735,0.7229,0.54,10.0749
EMP_00028,empresarial,268,230,465759.38,666537.04,2032.25,1835.31,79,15,75,25,0.711,0.217,0.889,0.243,0.43,0.101,82,empresarial,1.1652,5679.99,8128.5,1.4311,0.3731,0.3507,0.6143,11.0291
EMP_00029,empresarial,292,330,277014.07,423021.56,1134.51,1032.84,72,24,74,52,0.688,0.274,0.239,0.015,0.295,0.533,69,empresarial,0.8848,4014.7,6130.75,1.5271,0.4315,0.3288,0.314,11.4759
EMP_00030,empresarial,223,221,408906.86,510194.24,1555.9,1063.3,122,16,51,44,0.534,0.417,0.814,0.265,0.434,0.142,6,empresarial,1.009,68151.14,85032.37,1.2477,0.426,0.6188,0.5377,10.8054
