cliente_id,tipo_cliente,score_empresarial,seleccionado,cluster,arquetipo,num_transacciones,dias_activos,gasto_total,ingresos_totales,ticket_promedio,ticket_mediano,num_comercios_distintos,num_categorias_distintas,pagos_recurrentes,depositos_recurrentes,porcentaje_tdc,porcentaje_tdd,uso_credito,revolvencia,concentracion_proveedores,estacionalidad,antiguedad_meses,transacciones_por_dia_activo,gasto_promedio_mensual,ingreso_promedio_mensual,ratio_ingreso_gasto,indice_recurrencia,diversidad_operativa,exposicion_credito,intensidad_operativa,perfil_sintetico
PER_01651,personal,0.331711,False,,No seleccionado,155,35,60750.29,81719.49,338.98,283.47,35,10,19,5,0.176,0.774,0.2,0.424,0.26,0.091,34,4.4286,1786.77,2403.51,1.3452,0.1548,0.2903,0.2667,8.599,personal_tradicional
PER_02457,personal,0.55943,False,,No seleccionado,212,77,99379.04,113543.91,424.4,355.62,28,2,22,6,0.365,0.556,0.341,0.243,0.447,0.196,3,2.7532,33126.35,37847.97,1.1425,0.1321,0.1415,0.3163,9.7005,personal_tradicional
PER_02233,personal,0.256838,False,,No seleccionado,28,113,14929.46,15283.69,618.56,451.14,44,5,2,1,0.389,0.594,0.342,0.052,0.062,0.056,77,0.2478,193.89,198.49,1.0237,0.1071,1.75,0.261,8.0599,personal_tradicional
PER_01946,personal,0.463232,False,,No seleccionado,46,100,51448.13,86203.5,1248.3,1021.45,46,5,4,1,0.454,0.488,0.371,0.023,0.24,0.106,10,0.46,5144.81,8620.35,1.6755,0.1087,1.1087,0.2827,8.434,personal_tradicional
PER_00310,personal,0.524864,False,,No seleccionado,130,113,102951.81,162380.83,782.35,615.3,28,6,9,5,0.249,0.715,0.31,0.16,0.02,0.265,61,1.1504,1687.73,2661.98,1.5773,0.1077,0.2615,0.2397,9.595,personal_tradicional
PER_02342,personal,0.612625,False,,No seleccionado,182,99,156745.93,181862.86,890.32,635.75,29,7,9,5,0.175,0.745,0.445,0.223,0.091,0.296,32,1.8384,4898.31,5683.21,1.1602,0.0769,0.1978,0.281,9.7992,personal_tradicional
PER_01667,personal,0.37458,False,,No seleccionado,54,186,23096.95,32158.73,486.61,410.95,40,3,2,3,0.242,0.727,0.22,0.015,0.38,0.126,67,0.2903,344.73,479.98,1.3923,0.0926,0.7963,0.159,9.2148,personal_tradicional
PER_01682,personal,0.263858,False,,No seleccionado,144,125,136652.47,217693.48,978.88,824.12,24,3,19,3,0.051,0.923,0.217,0.229,0.205,0.35,3,1.152,45550.82,72564.49,1.593,0.1528,0.1875,0.1657,9.7982,personal_tradicional
PER_01188,personal,0.622207,False,,No seleccionado,67,83,26473.01,41031.85,430.02,294.08,44,10,4,3,0.518,0.42,0.299,0.26,0.226,0.373,37,0.8072,715.49,1108.97,1.55,0.1045,0.806,0.359,8.6237,personal_tradicional
PER_00326,personal,0.584011,False,,No seleccionado,167,111,160338.94,164648.25,953.6,721.39,45,6,13,11,0.305,0.639,0.026,0.185,0.364,0.277,34,1.5045,4715.85,4842.6,1.0269,0.1437,0.3054,0.172,9.8276,personal_tradicional
