variable,importancia,accuracy_validacion
pagos_recurrentes,0.19515424037543153,1.0
indice_recurrencia,0.1909025533540705,1.0
intensidad_operativa,0.13504186489779618,1.0
depositos_recurrentes,0.11232092927992846,1.0
dias_activos,0.08491990707918506,1.0
gasto_total,0.06693064729896853,1.0
num_comercios_distintos,0.0620569949581344,1.0
ingresos_totales,0.04411394501232349,1.0
num_transacciones,0.03899045723972916,1.0
num_categorias_distintas,0.0384160574666303,1.0
concentracion_proveedores,0.013440880428706293,1.0
gasto_promedio_mensual,0.004697891392958557,1.0
exposicion_credito,0.004097793614031459,1.0
ticket_promedio,0.003681706073947337,1.0
ingreso_promedio_mensual,0.003620103043888411,1.0
uso_credito,0.0005001429759568222,1.0
transacciones_por_dia_activo,0.0004730344527739525,1.0
ticket_mediano,0.0002809423627055771,1.0
diversidad_operativa,0.00014710021930148322,1.0
revolvencia,7.104874018329928e-05,1.0
porcentaje_tdd,4.6765788159009476e-05,1.0
estacionalidad,3.398069782030705e-05,1.0
porcentaje_tdc,2.9598822386759976e-05,1.0
antiguedad_meses,2.688629877185367e-05,1.0
ratio_ingreso_gasto,4.5281262113006995e-06,1.0
