cliente_id,tipo_cliente,num_transacciones,dias_activos,gasto_total,ingresos_totales,ticket_promedio,ticket_mediano,num_comercios_distintos,num_categorias_distintas,pagos_recurrentes,depositos_recurrentes,porcentaje_tdc,porcentaje_tdd,uso_credito,revolvencia,concentracion_proveedores,estacionalidad,antiguedad_meses,perfil_sintetico
PER_01651,personal,155,35,60750.29,81719.49,338.98,283.47,35,10,19,5,0.176,0.774,0.2,0.424,0.26,0.091,34,personal_tradicional
PER_02457,personal,212,77,99379.04,113543.91,424.4,355.62,28,2,22,6,0.365,0.556,0.341,0.243,0.447,0.196,3,personal_tradicional
PER_02233,personal,28,113,14929.46,15283.69,618.56,451.14,44,5,2,1,0.389,0.594,0.342,0.052,0.062,0.056,77,personal_tradicional
PER_01946,personal,46,100,51448.13,86203.5,1248.3,1021.45,46,5,4,1,0.454,0.488,0.371,0.023,0.24,0.106,10,personal_tradicional
PER_00310,personal,130,113,102951.81,162380.83,782.35,615.3,28,6,9,5,0.249,0.715,0.31,0.16,0.02,0.265,61,personal_tradicional
PER_02342,personal,182,99,156745.93,181862.86,890.32,635.75,29,7,9,5,0.175,0.745,0.445,0.223,0.091,0.296,32,personal_tradicional
PER_01667,personal,54,186,23096.95,32158.73,486.61,410.95,40,3,2,3,0.242,0.727,0.22,0.015,0.38,0.126,67,personal_tradicional
PER_01682,personal,144,125,136652.47,217693.48,978.88,824.12,24,3,19,3,0.051,0.923,0.217,0.229,0.205,0.35,3,personal_tradicional
PER_01188,personal,67,83,26473.01,41031.85,430.02,294.08,44,10,4,3,0.518,0.42,0.299,0.26,0.226,0.373,37,personal_tradicional
PER_00326,personal,167,111,160338.94,164648.25,953.6,721.39,45,6,13,11,0.305,0.639,0.026,0.185,0.364,0.277,34,personal_tradicional
PER_01648,personal,99,73,104325.54,126320.48,949.98,724.34,29,9,6,7,0.097,0.843,0.171,0.059,0.264,0.14,26,personal_tradicional
PER_02821,personal,27,179,25244.99,41334.42,815.29,697.3,16,8,2,1,0.532,0.423,0.194,0.044,0.139,0.306,47,personal_tradicional
PEL_00096,personal,46,94,50655.53,78157.94,1194.06,869.48,28,6,5,1,0.487,0.468,0.035,0.065,0.227,0.343,39,personal_comportamiento_empresarial_latente
PER_00788,personal,30,87,16326.59,20650.93,487.56,353.39,45,7,1,1,0.104,0.88,0.298,0.288,0.283,0.141,51,personal_tradicional
PER_00558,personal,58,59,41394.6,50813.4,633.14,470.14,26,4,5,4,0.371,0.601,0.46,0.042,0.148,0.171,10,personal_tradicional
PER_00756,personal,88,40,30036.4,37570.36,365.72,333.27,22,12,11,2,0.257,0.714,0.74,0.303,0.45,0.02,39,personal_tradicional
PER_00943,personal,97,69,46693.53,58351.78,582.79,422.82,11,9,11,3,0.466,0.455,0.51,0.141,0.238,0.25,44,personal_tradicional
PER_01460,personal,20,86,35067.31,56984.1,2009.74,1659.78,34,10,1,1,0.361,0.574,0.109,0.228,0.247,0.204,22,personal_tradicional
PEL_00255,personal,78,89,78097.26,117728.97,1090.72,969.45,35,8,8,2,0.122,0.816,0.186,0.131,0.179,0.15,42,personal_comportamiento_empresarial_latente
PER_02561,personal,165,65,53825.06,74249.67,357.79,250.7,36,11,11,13,0.42,0.533,0.078,0.008,0.02,0.084,74,personal_tradicional
PER_00185,personal,104,71,68656.96,106778.96,598.88,508.84,15,9,12,6,0.184,0.8,0.32,0.064,0.122,0.277,35,personal_tradicional
PER_01972,personal,92,81,48104.52,78924.71,459.23,348.37,35,11,5,2,0.281,0.717,0.259,0.088,0.166,0.227,7,personal_tradicional
PER_00315,personal,59,117,25318.52,41318.38,387.86,339.43,19,6,4,1,0.318,0.656,0.51,0.62,0.063,0.272,45,personal_tradicional
PER_01502,personal,32,101,27926.09,46180.3,809.71,588.37,34,13,2,1,0.191,0.78,0.144,0.241,0.133,0.127,19,personal_tradicional
PER_01095,personal,98,76,58732.27,66765.06,643.22,465.38,19,9,5,7,0.184,0.75,0.206,0.186,0.442,0.123,74,personal_tradicional
PER_01337,personal,61,40,107768.62,159600.04,1788.17,1375.08,24,9,6,4,0.346,0.62,0.221,0.121,0.254,0.021,67,personal_tradicional
PER_00694,personal,95,53,32714.42,42737.25,403.11,282.5,37,10,6,7,0.337,0.598,0.192,0.306,0.089,0.172,35,personal_tradicional
PER_00347,personal,76,46,49357.18,77627.04,597.62,465.14,10,8,9,3,0.277,0.7,0.322,0.279,0.211,0.294,23,personal_tradicional
PER_01615,personal,115,122,130405.66,213753.16,1313.15,967.36,26,7,12,8,0.321,0.664,0.173,0.124,0.023,0.31,77,personal_tradicional
PEL_00410,personal,34,95,15155.55,20814.73,384.01,283.89,23,8,2,1,0.395,0.561,0.645,0.089,0.095,0.076,3,personal_comportamiento_empresarial_latente
PEL_00108,personal,58,83,37597.02,55037.43,555.74,465.24,5,12,7,4,0.417,0.559,0.134,0.137,0.056,0.3,68,personal_comportamiento_empresarial_latente
PER_01922,personal,73,92,30391.13,39498.25,403.41,295.31,32,8,5,5,0.155,0.8,0.29,0.088,0.124,0.348,29,personal_tradicional
PER_02351,personal,49,146,53687.28,66854.46,1313.92,920.13,61,6,1,2,0.343,0.637,0.45,0.514,0.431,0.285,3,personal_tradicional
PER_00890,personal,161,98,121483.15,153989.72,854.35,680.59,31,9,21,9,0.277,0.673,0.194,0.045,0.037,0.456,44,personal_tradicional
PEL_00218,personal,72,108,156232.89,207053.77,2381.05,2048.36,37,11,8,3,0.383,0.558,0.108,0.157,0.137,0.169,60,personal_comportamiento_empresarial_latente
PER_03078,personal,22,73,24217.74,29329.45,945.68,701.81,28,8,1,1,0.322,0.644,0.06,0.415,0.043,0.089,36,personal_tradicional
PER_00171,personal,14,144,10107.08,15240.71,656.05,532.97,50,8,1,0,0.325,0.626,0.134,0.252,0.301,0.316,50,personal_tradicional
PER_00180,personal,12,135,15789.66,24202.08,1164.4,834.3,21,9,1,1,0.304,0.666,0.135,0.148,0.197,0.317,32,personal_tradicional
PER_00613,personal,49,93,52911.72,61733.09,1226.09,887.3,29,11,3,1,0.346,0.635,0.298,0.057,0.244,0.166,17,personal_tradicional
PER_02241,personal,156,102,80159.54,115894.64,485.62,343.35,38,7,20,2,0.309,0.69,0.08,0.13,0.235,0.081,47,personal_tradicional
PER_01552,personal,97,15,71588.57,90651.83,631.34,431.1,34,10,10,7,0.295,0.64,0.297,0.133,0.285,0.071,50,personal_tradicional
PER_03064,personal,32,178,31313.32,41616.8,922.79,656.63,44,14,3,1,0.297,0.689,0.177,0.014,0.266,0.19,14,personal_tradicional
PER_00840,personal,96,127,40433.31,56596.63,457.94,321.14,32,5,4,4,0.264,0.677,0.38,0.27,0.293,0.203,35,personal_tradicional
PER_02091,personal,37,106,42809.41,53325.34,1083.5,875.9,20,4,4,1,0.684,0.288,0.192,0.418,0.179,0.062,37,personal_tradicional
PER_02072,personal,110,52,84673.79,104931.43,653.39,579.55,39,2,7,7,0.184,0.767,0.063,0.129,0.236,0.282,50,personal_tradicional
PER_00027,personal,74,93,24287.64,26989.94,396.55,321.44,37,12,2,4,0.05,0.896,0.627,0.061,0.264,0.035,31,personal_tradicional
PER_01923,personal,97,125,44040.54,71869.76,491.04,357.26,52,8,9,5,0.607,0.336,0.163,0.444,0.45,0.134,3,personal_tradicional
PER_01860,personal,60,136,12989.98,15919.89,259.35,218.03,25,7,5,4,0.389,0.596,0.27,0.188,0.402,0.115,46,personal_tradicional
PER_00681,personal,120,119,60435.99,62631.86,534.18,364.76,39,11,12,9,0.176,0.823,0.294,0.051,0.201,0.367,38,personal_tradicional
PER_00033,personal,215,100,197039.08,237093.31,789.27,550.85,36,9,20,12,0.369,0.628,0.075,0.399,0.325,0.125,45,personal_tradicional
PER_00071,personal,85,94,47157.75,51049.78,498.38,425.54,24,7,11,6,0.201,0.797,0.165,0.392,0.138,0.19,49,personal_tradicional
PER_00323,personal,21,37,6342.48,8588.55,294.44,240.98,27,7,2,1,0.14,0.827,0.35,0.101,0.28,0.28,34,personal_tradicional
PER_02788,personal,72,83,52739.25,81113.13,681.64,491.68,28,5,8,2,0.306,0.637,0.064,0.351,0.155,0.263,26,personal_tradicional
PEL_00178,personal,57,95,31182.54,44541.06,655.87,590.32,17,6,5,3,0.196,0.804,0.206,0.24,0.278,0.065,52,personal_comportamiento_empresarial_latente
PER_01072,personal,74,62,78286.04,118107.62,980.85,757.76,32,14,6,4,0.114,0.848,0.588,0.243,0.24,0.332,40,personal_tradicional
PER_00052,personal,50,122,41733.84,49234.16,949.45,707.22,14,6,1,4,0.209,0.742,0.071,0.167,0.196,0.099,25,personal_tradicional
PER_01421,personal,28,94,22266.47,33642.46,798.96,588.2,59,10,1,2,0.235,0.747,0.398,0.075,0.281,0.152,55,personal_tradicional
PER_00431,personal,147,98,99566.02,104835.2,696.27,618.15,31,7,9,6,0.242,0.688,0.165,0.073,0.386,0.054,71,personal_tradicional
PER_02485,personal,93,95,88261.55,92573.97,872.2,673.99,25,11,4,5,0.62,0.334,0.374,0.141,0.45,0.338,21,personal_tradicional
PER_01718,personal,102,117,54417.21,64477.66,452.19,374.07,26,8,10,4,0.334,0.598,0.143,0.111,0.153,0.038,50,personal_tradicional
PEL_00030,personal,84,34,74221.44,91248.68,943.79,736.56,23,9,2,1,0.148,0.828,0.175,0.278,0.335,0.048,4,personal_comportamiento_empresarial_latente
PER_01081,personal,83,56,57820.49,90024.74,649.26,516.78,25,6,4,4,0.364,0.573,0.138,0.031,0.189,0.226,20,personal_tradicional
PER_00555,personal,73,68,44855.46,53120.07,560.38,388.56,17,11,4,2,0.147,0.809,0.509,0.089,0.159,0.72,74,personal_tradicional
PER_00145,personal,115,107,49917.77,74380.75,436.1,316.38,23,10,3,2,0.383,0.57,0.198,0.066,0.346,0.026,59,personal_tradicional
PER_01823,personal,32,68,9669.58,15587.9,349.36,252.15,31,9,1,2,0.364,0.623,0.249,0.034,0.163,0.515,52,personal_tradicional
PEL_00044,personal,97,17,85667.93,128609.36,780.9,716.79,31,6,10,1,0.42,0.532,0.461,0.331,0.307,0.237,23,personal_comportamiento_empresarial_latente
PER_00197,personal,35,76,22557.64,29660.8,604.15,535.6,36,6,3,3,0.05,0.945,0.184,0.168,0.293,0.02,53,personal_tradicional
PER_01678,personal,81,93,36007.42,50929.21,410.76,324.48,27,6,10,4,0.515,0.413,0.278,0.186,0.185,0.241,28,personal_tradicional
PER_00791,personal,192,97,253508.93,289374.98,1296.28,968.13,16,6,20,7,0.277,0.718,0.077,0.315,0.19,0.071,24,personal_tradicional
PER_02776,personal,40,126,17266.42,26706.55,449.61,393.59,18,8,4,1,0.219,0.777,0.087,0.287,0.104,0.073,15,personal_tradicional
